course_number,teacher_name,grade_level,max_students,section_number
EL4HR,Wilder 1,4,27,1001
EL0HR,Wilson 2,0,26,1002
EL0HR,Wildcat 3,0,27,1003
EL3HR,Miller 4,3,24,1004
EL5HR,Harris 5,5,22,1005
EL1HR,Harris 6,1,22,1006
EL3HR,Smith 7,3,22,1007
EL4HR,Smith 8,4,28,1008
EL3HR,Thompson 9,3,25,1009
EL5HR,Harris 10,5,24,1010
EL3HR,Wildcat 11,3,25,1011
EL0HR,White 12,0,23,1012
EL5HR,Miller 13,5,24,1013
EL4HR,Wilder 14,4,26,1014
EL4HR,Harris 15,4,25,1015
EL5HR,Harris 16,5,26,1016
EL2HR,Johnson 17,2,26,1017
EL3HR,Anderson 18,3,24,1018
EL3HR,Johnson 19,3,27,1019
EL2HR,Wildcat 20,2,28,1020
EL4HR,Thompson 21,4,26,1021
EL4HR,Thomas 22,4,23,1022
EL5HR,Thomas 23,5,26,1023
EL3HR,Thomas 24,3,26,1024
EL4HR,Johnson 25,4,23,1025
EL5HR,Anderson 26,5,26,1026
EL2HR,Wilson 27,2,25,1027
EL4HR,Thompson 28,4,22,1028
EL1HR,White 29,1,27,1029
EL0HR,Thompson 30,0,26,1030
EL5HR,Martin 31,5,22,1031
EL2HR,Davis 32,2,22,1032
EL0HR,Wilson 33,0,23,1033
EL4HR,Smith 34,4,23,1034
EL0HR,Smith 35,0,28,1035
EL0HR,Harris 36,0,26,1036
EL4HR,Harris 37,4,25,1037
EL4HR,Wildcat 38,4,23,1038
EL5HR,Davis 39,5,23,1039
EL3HR,White 40,3,25,1040
EL4HR,Moore 41,4,24,1041
EL4HR,Moore 42,4,27,1042
EL0HR,White 43,0,22,1043
EL2HR,Martin 44,2,25,1044
EL4HR,Thomas 45,4,27,1045
EL0HR,Moore 46,0,22,1046
EL2HR,Davis 47,2,22,1047
EL2HR,Anderson 48,2,25,1048
EL5HR,Anderson 49,5,24,1049
EL5HR,Thomas 50,5,28,1050
EL1HR,Wilder 51,1,23,1051
EL4HR,Jackson 52,4,26,1052
EL0HR,Wilson 53,0,27,1053
EL4HR,White 54,4,23,1054
EL4HR,Harris 55,4,25,1055
EL1HR,Miller 56,1,25,1056
EL5HR,Martin 57,5,24,1057
EL1HR,Johnson 58,1,26,1058
EL0HR,Wilder 59,0,24,1059
EL4HR,Thompson 60,4,25,1060
EL5HR,Harris 61,5,22,1061
EL2HR,Moore 62,2,25,1062
EL1HR,Johnson 63,1,28,1063
EL3HR,Moore 64,3,27,1064
EL0HR,Thompson 65,0,25,1065
EL5HR,Davis 66,5,25,1066
EL5HR,Johnson 67,5,24,1067
EL5HR,Wilson 68,5,23,1068
EL0HR,Martin 69,0,28,1069
EL4HR,Wilder 70,4,28,1070
EL5HR,Johnson 71,5,28,1071
EL3HR,Moore 72,3,26,1072
EL3HR,Moore 73,3,24,1073
EL5HR,Martin 74,5,28,1074
EL1HR,Miller 75,1,25,1075
EL3HR,Martin 76,3,25,1076
EL1HR,Davis 77,1,25,1077
EL1HR,Smith 78,1,27,1078
EL3HR,Davis 79,3,28,1079
EL0HR,Jackson 80,0,26,1080
EL0HR,White 81,0,24,1081
EL0HR,Johnson 82,0,25,1082
EL3HR,Harris 83,3,24,1083
EL0HR,Miller 84,0,24,1084
EL5HR,Thompson 85,5,24,1085
EL0HR,Anderson 86,0,22,1086
EL4HR,White 87,4,24,1087
EL5HR,Wilder 88,5,28,1088
EL0HR,Wildcat 89,0,25,1089
EL2HR,Smith 90,2,27,1090
EL3HR,Moore 91,3,28,1091
EL5HR,Smith 92,5,25,1092
EL2HR,Davis 93,2,28,1093
EL0HR,Wilder 94,0,26,1094
EL2HR,Wilson 95,2,26,1095
EL2HR,Miller 96,2,24,1096
EL2HR,Anderson 97,2,23,1097
EL5HR,Anderson 98,5,27,1098
EL3HR,Jackson 99,3,25,1099
EL4HR,Thompson 100,4,23,1100
