student_number,student_name,grade_level,gender,iep,mll
2001,Student 1,5,m,0,0
2002,Student 2,0,m,0,0
2003,Student 3,2,f,0,0
2004,Student 4,3,f,0,0
2005,Student 5,4,m,0,0
2006,Student 6,0,f,0,0
2007,Student 7,4,m,0,0
2008,Student 8,3,f,0,0
2009,Student 9,1,f,1,0
2010,Student 10,3,m,0,0
2011,Student 11,4,m,0,0
2012,Student 12,2,m,0,0
2013,Student 13,0,m,0,0
2014,Student 14,5,m,0,0
2015,Student 15,3,m,0,0
2016,Student 16,5,f,0,0
2017,Student 17,0,m,0,0
2018,Student 18,0,m,0,0
2019,Student 19,5,m,0,0
2020,Student 20,2,m,0,1
2021,Student 21,4,f,0,1
2022,Student 22,4,f,0,0
2023,Student 23,1,m,1,0
2024,Student 24,0,m,0,0
2025,Student 25,4,m,0,0
2026,Student 26,1,f,0,0
2027,Student 27,2,f,0,0
2028,Student 28,2,f,0,0
2029,Student 29,1,m,0,1
2030,Student 30,0,f,0,0
2031,Student 31,3,f,0,0
2032,Student 32,2,f,0,0
2033,Student 33,2,m,0,0
2034,Student 34,1,m,0,0
2035,Student 35,4,f,0,0
2036,Student 36,1,m,0,0
2037,Student 37,2,f,0,0
2038,Student 38,4,m,0,1
2039,Student 39,4,f,0,0
2040,Student 40,3,f,0,0
2041,Student 41,4,f,0,0
2042,Student 42,0,f,0,0
2043,Student 43,2,f,0,0
2044,Student 44,0,m,0,0
2045,Student 45,4,f,0,0
2046,Student 46,5,f,0,0
2047,Student 47,2,f,0,0
2048,Student 48,3,f,0,0
2049,Student 49,1,f,0,0
2050,Student 50,1,f,0,0
2051,Student 51,3,m,0,0
2052,Student 52,1,m,0,0
2053,Student 53,4,f,0,0
2054,Student 54,2,m,0,0
2055,Student 55,0,m,0,1
2056,Student 56,0,m,0,0
2057,Student 57,3,f,0,0
2058,Student 58,2,f,0,1
2059,Student 59,1,f,0,0
2060,Student 60,4,m,0,0
2061,Student 61,3,m,0,0
2062,Student 62,4,f,0,0
2063,Student 63,0,f,0,1
2064,Student 64,1,m,0,0
2065,Student 65,4,f,0,0
2066,Student 66,5,m,0,0
2067,Student 67,0,m,0,0
2068,Student 68,4,f,1,1
2069,Student 69,1,f,0,0
2070,Student 70,1,m,1,0
2071,Student 71,0,f,0,0
2072,Student 72,2,m,0,1
2073,Student 73,0,m,0,0
2074,Student 74,3,f,0,0
2075,Student 75,1,f,0,0
2076,Student 76,4,f,1,0
2077,Student 77,0,m,0,0
2078,Student 78,3,f,0,0
2079,Student 79,1,m,0,0
2080,Student 80,4,m,0,0
2081,Student 81,5,f,1,0
2082,Student 82,5,f,0,0
2083,Student 83,5,m,0,0
2084,Student 84,1,m,1,0
2085,Student 85,4,m,0,0
2086,Student 86,0,f,0,1
2087,Student 87,0,f,0,0
2088,Student 88,4,f,0,0
2089,Student 89,5,m,0,0
2090,Student 90,1,f,0,0
2091,Student 91,1,f,1,0
2092,Student 92,1,f,0,0
2093,Student 93,5,m,0,0
2094,Student 94,4,m,1,1
2095,Student 95,0,m,0,0
2096,Student 96,1,m,0,0
2097,Student 97,0,m,1,0
2098,Student 98,3,m,0,0
2099,Student 99,0,m,0,1
2100,Student 100,3,f,0,0
